,time
0,0.0
1,0.0039062
2,0.0078125
3,0.011719
4,0.015625
5,0.019531
6,0.023438
7,0.027344
8,0.03125
9,0.035156
10,0.039062
11,0.042969
12,0.046875
13,0.050781
14,0.054688
15,0.058594
16,0.0625
17,0.066406
18,0.070312
19,0.074219
20,0.078125
21,0.082031
22,0.085938
23,0.089844
24,0.09375
25,0.097656
26,0.10156
27,0.10547
28,0.10938
29,0.11328
30,0.11719
31,0.12109
32,0.125
33,0.12891
34,0.13281
35,0.13672
36,0.14062
37,0.14453
38,0.14844
39,0.15234
40,0.15625
41,0.16016
42,0.16406
43,0.16797
44,0.17188
45,0.17578
46,0.17969
47,0.18359
48,0.1875
49,0.19141
50,0.19531
51,0.19922
52,0.20312
53,0.20703
54,0.21094
55,0.21484
56,0.21875
57,0.22266
58,0.22656
59,0.23047
60,0.23438
61,0.23828
62,0.24219
63,0.24609
64,0.25
65,0.25391
66,0.25781
67,0.26172
68,0.26562
69,0.26953
70,0.27344
71,0.27734
72,0.28125
73,0.28516
74,0.28906
75,0.29297
76,0.29688
77,0.30078
78,0.30469
79,0.30859
80,0.3125
81,0.31641
82,0.32031
83,0.32422
84,0.32812
85,0.33203
86,0.33594
87,0.33984
88,0.34375
89,0.34766
90,0.35156
91,0.35547
92,0.35938
93,0.36328
94,0.36719
95,0.37109
96,0.375
97,0.37891
98,0.38281
99,0.38672
100,0.39062
101,0.39453
102,0.39844
103,0.40234
104,0.40625
105,0.41016
106,0.41406
107,0.41797
108,0.42188
109,0.42578
110,0.42969
111,0.43359
112,0.4375
113,0.44141
114,0.44531
115,0.44922
116,0.45312
117,0.45703
118,0.46094
119,0.46484
120,0.46875
121,0.47266
122,0.47656
123,0.48047
124,0.48438
125,0.48828
126,0.49219
127,0.49609
128,0.5
129,0.50391
130,0.50781
131,0.51172
132,0.51562
133,0.51953
134,0.52344
135,0.52734
136,0.53125
137,0.53516
138,0.53906
139,0.54297
140,0.54688
141,0.55078
142,0.55469
143,0.55859
144,0.5625
145,0.56641
146,0.57031
147,0.57422
148,0.57812
149,0.58203
150,0.58594
151,0.58984
152,0.59375
153,0.59766
154,0.60156
155,0.60547
156,0.60938
157,0.61328
158,0.61719
159,0.62109
160,0.625
161,0.62891
162,0.63281
163,0.63672
164,0.64062
165,0.64453
166,0.64844
167,0.65234
168,0.65625
169,0.66016
170,0.66406
171,0.66797
172,0.67188
173,0.67578
174,0.67969
175,0.68359
176,0.6875
177,0.69141
178,0.69531
179,0.69922
180,0.70312
181,0.70703
182,0.71094
183,0.71484
184,0.71875
185,0.72266
186,0.72656
187,0.73047
188,0.73438
189,0.73828
190,0.74219
191,0.74609
192,0.75
193,0.75391
194,0.75781
195,0.76172
196,0.76562
197,0.76953
198,0.77344
199,0.77734
200,0.78125
201,0.78516
202,0.78906
203,0.79297
204,0.79688
205,0.80078
206,0.80469
207,0.80859
208,0.8125
209,0.81641
210,0.82031
211,0.82422
212,0.82812
213,0.83203
214,0.83594
215,0.83984
216,0.84375
217,0.84766
218,0.85156
219,0.85547
220,0.85938
221,0.86328
222,0.86719
223,0.87109
224,0.875
225,0.87891
226,0.88281
227,0.88672
228,0.89062
229,0.89453
230,0.89844
231,0.90234
232,0.90625
233,0.91016
234,0.91406
235,0.91797
236,0.92188
237,0.92578
238,0.92969
239,0.93359
240,0.9375
241,0.94141
242,0.94531
243,0.94922
244,0.95312
245,0.95703
246,0.96094
247,0.96484
248,0.96875
249,0.97266
250,0.97656
251,0.98047
252,0.98438
253,0.98828
254,0.99219
255,0.99609
256,1.0
257,1.0039
258,1.0078
259,1.0117
260,1.0156
261,1.0195
262,1.0234
263,1.0273
264,1.0312
265,1.0352
266,1.0391
267,1.043
268,1.0469
269,1.0508
270,1.0547
271,1.0586
272,1.0625
273,1.0664
274,1.0703
275,1.0742
276,1.0781
277,1.082
278,1.0859
279,1.0898
280,1.0938
281,1.0977
282,1.1016
283,1.1055
284,1.1094
285,1.1133
286,1.1172
287,1.1211
288,1.125
289,1.1289
290,1.1328
291,1.1367
292,1.1406
293,1.1445
294,1.1484
295,1.1523
296,1.1562
297,1.1602
298,1.1641
299,1.168
300,1.1719
301,1.1758
302,1.1797
303,1.1836
304,1.1875
305,1.1914
306,1.1953
307,1.1992
308,1.2031
309,1.207
310,1.2109
311,1.2148
312,1.2188
313,1.2227
314,1.2266
315,1.2305
316,1.2344
317,1.2383
318,1.2422
319,1.2461
320,1.25
321,1.2539
322,1.2578
323,1.2617
324,1.2656
325,1.2695
326,1.2734
327,1.2773
328,1.2812
329,1.2852
330,1.2891
331,1.293
332,1.2969
333,1.3008
334,1.3047
335,1.3086
336,1.3125
337,1.3164
338,1.3203
339,1.3242
340,1.3281
341,1.332
342,1.3359
343,1.3398
344,1.3438
345,1.3477
346,1.3516
347,1.3555
348,1.3594
349,1.3633
350,1.3672
351,1.3711
352,1.375
353,1.3789
354,1.3828
355,1.3867
356,1.3906
357,1.3945
358,1.3984
359,1.4023
360,1.4062
361,1.4102
362,1.4141
363,1.418
364,1.4219
365,1.4258
366,1.4297
367,1.4336
368,1.4375
369,1.4414
370,1.4453
371,1.4492
372,1.4531
373,1.457
374,1.4609
375,1.4648
376,1.4688
377,1.4727
378,1.4766
379,1.4805
380,1.4844
381,1.4883
382,1.4922
383,1.4961
384,1.5
385,1.5039
386,1.5078
387,1.5117
388,1.5156
389,1.5195
390,1.5234
391,1.5273
392,1.5312
393,1.5352
394,1.5391
395,1.543
396,1.5469
397,1.5508
398,1.5547
399,1.5586
400,1.5625
401,1.5664
402,1.5703
403,1.5742
404,1.5781
405,1.582
406,1.5859
407,1.5898
408,1.5938
409,1.5977
410,1.6016
411,1.6055
412,1.6094
413,1.6133
414,1.6172
415,1.6211
416,1.625
417,1.6289
418,1.6328
419,1.6367
420,1.6406
421,1.6445
422,1.6484
423,1.6523
424,1.6562
425,1.6602
426,1.6641
427,1.668
428,1.6719
429,1.6758
430,1.6797
431,1.6836
432,1.6875
433,1.6914
434,1.6953
435,1.6992
436,1.7031
437,1.707
438,1.7109
439,1.7148
440,1.7188
441,1.7227
442,1.7266
443,1.7305
444,1.7344
445,1.7383
446,1.7422
447,1.7461
448,1.75
449,1.7539
450,1.7578
451,1.7617
452,1.7656
453,1.7695
454,1.7734
455,1.7773
456,1.7812
457,1.7852
458,1.7891
459,1.793
460,1.7969
461,1.8008
462,1.8047
463,1.8086
464,1.8125
465,1.8164
466,1.8203
467,1.8242
468,1.8281
469,1.832
470,1.8359
471,1.8398
472,1.8438
473,1.8477
474,1.8516
475,1.8555
476,1.8594
477,1.8633
478,1.8672
479,1.8711
480,1.875
481,1.8789
482,1.8828
483,1.8867
484,1.8906
485,1.8945
486,1.8984
487,1.9023
488,1.9062
489,1.9102
490,1.9141
491,1.918
492,1.9219
493,1.9258
494,1.9297
495,1.9336
496,1.9375
497,1.9414
498,1.9453
499,1.9492
500,1.9531
501,1.957
502,1.9609
503,1.9648
504,1.9688
505,1.9727
506,1.9766
507,1.9805
508,1.9844
509,1.9883
510,1.9922
511,1.9961
512,2.0
513,2.0039
514,2.0078
515,2.0117
516,2.0156
517,2.0195
518,2.0234
519,2.0273
520,2.0312
521,2.0352
522,2.0391
523,2.043
524,2.0469
525,2.0508
526,2.0547
527,2.0586
528,2.0625
529,2.0664
530,2.0703
531,2.0742
532,2.0781
533,2.082
534,2.0859
535,2.0898
536,2.0938
537,2.0977
538,2.1016
539,2.1055
540,2.1094
541,2.1133
542,2.1172
543,2.1211
544,2.125
545,2.1289
546,2.1328
547,2.1367
548,2.1406
549,2.1445
550,2.1484
551,2.1523
552,2.1562
553,2.1602
554,2.1641
555,2.168
556,2.1719
557,2.1758
558,2.1797
559,2.1836
560,2.1875
561,2.1914
562,2.1953
563,2.1992
564,2.2031
565,2.207
566,2.2109
567,2.2148
